# Extracted by ip_extractor.py
# Generated: 2026-03-16T15:52:47.407776Z
# Total IPs: 12

103.144.208.57 | SEVERITY:LOW | ATTACKS:SSH_BRUTEFORCE | CONNECTIONS:1 | LOGIN_ATTEMPTS:3 | SUCCESSES:0
159.203.8.195 | SEVERITY:LOW | ATTACKS:SSH_BRUTEFORCE | CONNECTIONS:1 | LOGIN_ATTEMPTS:2 | SUCCESSES:0
162.142.125.210 | SEVERITY:LOW | ATTACKS:SSH_BRUTEFORCE | CONNECTIONS:1 | LOGIN_ATTEMPTS:3 | SUCCESSES:0
185.220.101.47 | SEVERITY:CRITICAL | ATTACKS:MALWARE_DOWNLOAD,MALWARE_EXECUTION,PERSISTENCE_ACCOUNT,SSH_BRUTEFORCE,SSH_LOGIN_SUCCESS | CONNECTIONS:1 | LOGIN_ATTEMPTS:3 | SUCCESSES:1
194.165.16.98 | SEVERITY:LOW | ATTACKS:SSH_BRUTEFORCE | CONNECTIONS:1 | LOGIN_ATTEMPTS:3 | SUCCESSES:0
218.92.0.195 | SEVERITY:CRITICAL | ATTACKS:DEFENSE_EVASION,REVERSE_SHELL,SSH_LOGIN_SUCCESS | CONNECTIONS:1 | LOGIN_ATTEMPTS:0 | SUCCESSES:1
45.142.212.100 | SEVERITY:LOW | ATTACKS:SSH_BRUTEFORCE | CONNECTIONS:1 | LOGIN_ATTEMPTS:2 | SUCCESSES:0
45.227.255.190 | SEVERITY:HIGH | ATTACKS:CRYPTOMINER,MALWARE_EXECUTION,SSH_LOGIN_SUCCESS | CONNECTIONS:1 | LOGIN_ATTEMPTS:0 | SUCCESSES:1
5.188.206.26 | SEVERITY:CRITICAL | ATTACKS:MALWARE_EXECUTION,PERSISTENCE_ACCOUNT,PERSISTENCE_CRON,SSH_LOGIN_SUCCESS | CONNECTIONS:1 | LOGIN_ATTEMPTS:0 | SUCCESSES:1
77.88.55.80 | SEVERITY:LOW | ATTACKS:SSH_BRUTEFORCE | CONNECTIONS:1 | LOGIN_ATTEMPTS:2 | SUCCESSES:0
80.94.95.130 | SEVERITY:CRITICAL | ATTACKS:CLOUD_METADATA_ABUSE,CREDENTIAL_THEFT,MALWARE_EXECUTION,SSH_LOGIN_SUCCESS | CONNECTIONS:1 | LOGIN_ATTEMPTS:0 | SUCCESSES:1
91.92.251.103 | SEVERITY:HIGH | ATTACKS:MALWARE_EXECUTION,SSH_BRUTEFORCE,SSH_LOGIN_SUCCESS | CONNECTIONS:1 | LOGIN_ATTEMPTS:2 | SUCCESSES:1
